总行数: 196

数据概览:
 子企业                 客商名称  2024_财务金额  2025_财务金额      财务差异  2024_人力金额  2025_人力金额      人力差异 异常标记         原因分析
  众元        辽宁双鞍集团二炼钢有限公司     258.49     282.22     23.73     150.63      51.94    -98.69    是       调整核算口径
  众元        辽宁双鞍集团原燃料有限公司    1140.88    1217.70     76.82     142.35       0.00   -142.35    是       调整核算口径
  众元       辽宁双鞍集团综合工业有限公司      73.88     287.37    213.49      12.00       0.00    -12.00    是       调整核算口径
  众元       辽宁翔鑫建筑劳务工程有限公司       0.00      10.00     10.00     803.75       0.00   -803.75    是   跨期核算，23转24
  众元       鞍山冶金集团矿产资源有限公司    1026.14    1180.64    154.50     277.93     111.41   -166.52    是       调整核算口径
  众元        鞍山威奥德焊接技术有限公司     362.97     353.08     -9.89       0.48      12.33     11.85    是 金额较小，落实项目真实性
  众元         鞍山徐特机械设备有限公司     425.94     491.46     65.52     192.43       0.00   -192.43    是       调整核算口径
  众元         鞍山综信建设工程有限公司     349.66     422.09     72.43     110.31     101.87     -8.44    是        不重点关注
  凌钢         上海宝信软件股份有限公司       0.00      10.00     10.00      37.74       8.90    -28.84    是          NaN
  凌钢         中钢洛耐科技股份有限公司       0.00     653.17    653.17    1599.54       0.00  -1599.54    是          NaN
  凌钢       凌源兴钢建筑安装有限责任公司       0.00   22328.43  22328.43    3782.24    2711.14  -1071.10    是          NaN
  凌钢         凌源宏钢集团有限责任公司       0.00   11783.80  11783.80    2086.14    1003.54  -1082.60    是          NaN
  凌钢        凌源市黑马新型材料有限公司       0.00     199.00    199.00     203.95     102.78   -101.17    是          NaN
  凌钢           凌源泰安气体有限公司       0.00     142.35    142.35     153.84     137.82    -16.02    是          NaN
  凌钢       凌源腾钢机械制造有限责任公司       0.00    3939.09   3939.09    1063.47     759.99   -303.48    是          NaN
  凌钢        凌源钢富达建服有限责任公司       0.00    3978.75   3978.75     720.84     571.53   -149.31    是          NaN
  凌钢     北京联合荣大工程材料股份有限公司       0.00      90.70     90.70     227.80      26.15   -201.65    是          NaN
  凌钢           北票保国劳动服务公司       0.00    1123.00   1123.00     859.22     787.94    -71.28    是          NaN
  凌钢          北票市凯达运输有限公司       0.00     220.05    220.05     194.95     173.15    -21.80    是          NaN
  凌钢         北票市台吉裕鑫机械设备厂       0.00       0.50      0.50      29.76       0.95    -28.81    是          NaN
  凌钢         北票市胜增起重机械经销处       0.00       2.46      2.46      12.19       0.78    -11.41    是          NaN
  凌钢          北票市通捷货运有限公司       0.00      89.14     89.14     108.99     100.96     -8.03    是          NaN
  凌钢         大连玉源环境工程有限公司       0.00     325.54    325.54     335.45     162.99   -172.46    是          NaN
  凌钢        天津开广工业水处理有限公司       0.00     186.54    186.54     296.76      46.25   -250.51    是          NaN
  凌钢 山东中节能天融环保技术有限公司北京分公司       0.00       5.90      5.90      35.85       0.00    -35.85    是          NaN
  凌钢       朝阳辽西沈阳东芝电梯有限公司       0.00      10.78     10.78      14.67       9.27     -5.40    是          NaN
  凌钢        本溪市众信冶金炉料有限公司       0.00     436.67    436.67     405.55     363.33    -42.22    是          NaN
  凌钢       沈阳可创建筑节能技术有限公司       0.00      93.85     93.85      77.47      41.84    -35.63    是          NaN
  凌钢         沈阳碧海环保科技有限公司       0.00      65.36     65.36      46.23       0.00    -46.23    是          NaN
  凌钢         泛微网络科技股份有限公司       0.00       4.95      4.95      14.01       4.67     -9.34    是          NaN
  凌钢         洛阳盛铁耐火材料有限公司       0.00    1086.63   1086.63     750.22     532.14   -218.08    是          NaN
  凌钢      海城市乾丰冶金辅助材料有限公司       0.00     670.34    670.34     326.89       0.00   -326.89    是          NaN
  凌钢       湖北海力环保科技股份有限公司       0.00      93.51     93.51      61.86      14.34    -47.52    是          NaN
  凌钢      濮阳源泰高科技冶金材料有限公司       0.00     230.47    230.47      37.30      18.29    -19.01    是          NaN
  凌钢   濮阳濮耐高温材料（集团）股份有限公司       0.00     132.71    132.71     287.37      71.46   -215.91    是          NaN
  凌钢        秦皇岛市首耐新材料有限公司       0.00     325.30    325.30     376.70     201.68   -175.02    是          NaN
  凌钢      营口科林膜技术工程服务有限公司       0.00     440.17    440.17     470.99     144.15   -326.84    是          NaN
  凌钢         辽宁东旅汽车运输有限公司       0.00       0.50      0.50      20.64       3.62    -17.02    是          NaN
  凌钢   辽宁凌源钢达集团修建设备安装有限公司       0.00    1690.51   1690.51     201.54     143.44    -58.10    是          NaN
  凌钢     辽宁凌源钢达集团劳动服务有限公司       0.00     790.92    790.92     984.35     831.30   -153.05    是          NaN
  凌钢       辽宁凌源钢达集团实业有限公司       0.00    9447.79   9447.79    6079.90    3299.21  -2780.69    是          NaN
  凌钢         辽宁华宇设备安装有限公司       0.00      77.19     77.19      29.70       0.00    -29.70    是          NaN
  凌钢         辽宁浩能低碳科技有限公司       0.00       7.42      7.42       1.26       0.40     -0.86    是          NaN
  凌钢     辽宁瑞甫默德新型材料发展有限公司       0.00     283.38    283.38     217.18     209.83     -7.35    是          NaN
  凌钢       辽宁省凌源市耐火材料有限公司       0.00    2621.91   2621.91    2265.42    1736.99   -528.43    是          NaN
  凌钢       青岛首鑫冶金辅料科技有限公司       0.00    1407.60   1407.60    2498.41     944.46  -1553.95    是          NaN
  凌钢       鞍山冶金集团铸钢制品有限公司       0.00     361.07    361.07     155.27     129.32    -25.95    是          NaN
  凌钢         鞍山翰玛传感技术有限公司       0.00      68.87     68.87      83.02       0.00    -83.02    是          NaN
  凌钢          鞍山赛诺新材料有限公司       0.00     340.81    340.81     320.37     283.99    -36.38    是          NaN
